Player,Player & Season,HR,Season,Age,triples_over_xbh,(3b + 1)/(2b + 3b + 1),Team,Lg,G,PA,AB,R,H,1B,2B,3B,HR,RBI,Single Team,Team & Year,3B,2B,Sprint Speed
Juan Soto,Juan Soto 2023,35,2023,24,0.030,0.059,SDP,NL,162,708,568,97,156,88,32,1,35,109,SDP,SDP 2023,82,96,26.7
Giancarlo Stanton,Giancarlo Stanton 2021,35,2021,31,0.000,0.050,NYY,AL,139,579,510,64,139,85,19,0,35,97,NYY,NYY 2021,85,94,24.2
Rowdy Tellez,Rowdy Tellez 2022,35,2022,27,0.000,0.042,MIL,NL,153,599,529,67,116,58,23,0,35,89,MIL,MIL 2022,99,97,29.3
Nolan Arenado,Nolan Arenado 2021,34,2021,30,0.081,0.105,STL,NL,157,653,593,81,151,80,34,3,34,105,STL,STL 2021,92,96,27.9
Jake Burger,Jake Burger 2023,34,2023,27,0.034,0.067,"CHW,MIA","AL,NL",141,540,492,71,123,60,28,1,34,80,CHW,CHW 2023,79,94,27.6
Nick Castellanos,Nick Castellanos 2021,34,2021,29,0.026,0.050,CIN,NL,138,585,531,95,164,91,38,1,34,100,CIN,CIN 2021,83,100,27
Matt Olson,Matt Olson 2022,34,2022,28,0.000,0.022,ATL,NL,162,699,616,86,148,70,44,0,34,103,ATL,ATL 2022,98,100,28.9
Tyler O'Neill,Tyler O'Neill 2021,34,2021,26,0.071,0.103,STL,NL,138,537,482,89,138,76,26,2,34,80,STL,STL 2021,92,96,25.6
Shohei Ohtani,Shohei Ohtani 2022,34,2022,27,0.167,0.189,LAA,AL,157,666,586,90,160,90,30,6,34,95,LAA,LAA 2022,99,98,29.4
Ozzie Albies,Ozzie Albies 2023,33,2023,26,0.143,0.167,ATL,NL,148,660,596,96,167,99,30,5,33,109,ATL,ATL 2023,98,100,26.8
Yordan Alvarez,Yordan Alvarez 2021,33,2021,24,0.028,0.054,HOU,AL,144,598,537,92,149,80,35,1,33,104,HOU,HOU 2021,106,98,28.9
Rafael Devers,Rafael Devers 2023,33,2023,26,0.000,0.029,BOS,AL,153,656,580,90,157,90,34,0,33,100,BOS,BOS 2023,120,112,29.1
Ryan Mountcastle,Ryan Mountcastle 2021,33,2021,24,0.042,0.080,BAL,AL,144,586,534,77,136,79,23,1,33,89,BAL,BAL 2021,90,97,26.4
Jorge Polanco,Jorge Polanco 2021,33,2021,27,0.054,0.079,MIN,AL,152,644,588,97,158,88,35,2,33,98,MIN,MIN 2021,97,105,27.1
Austin Riley,Austin Riley 2021,33,2021,24,0.029,0.057,ATL,NL,160,662,590,91,179,112,33,1,33,107,ATL,ATL 2021,98,100,29.5
Anthony Santander,Anthony Santander 2022,33,2022,27,0.000,0.040,BAL,AL,152,647,574,78,138,81,24,0,33,89,BAL,BAL 2022,95,94,27.5
Corey Seager,Corey Seager 2022,33,2022,28,0.040,0.077,TEX,AL,151,663,593,91,145,87,24,1,33,83,TEX,TEX 2022,93,102,26.6
Corey Seager,Corey Seager 2023,33,2023,29,0.000,0.023,TEX,AL,119,536,477,88,156,81,42,0,33,96,TEX,TEX 2023,93,102,29.5
Christian Walker,Christian Walker 2023,33,2023,32,0.053,0.077,ARI,NL,157,661,582,86,150,79,36,2,33,103,ARI,ARI 2023,118,104,27
Nelson Cruz,Nelson Cruz 2021,32,2021,40,0.045,0.087,"MIN,TBR",AL,140,584,513,79,136,82,21,1,32,86,MIN,MIN 2021,97,105,26.7
Vladimir Guerrero Jr.,Vladimir Guerrero Jr. 2022,32,2022,23,0.000,0.028,TOR,AL,160,706,638,90,175,108,35,0,32,97,TOR,TOR 2022,93,100,
Teoscar Hernández,Teoscar Hernández 2021,32,2021,28,0.000,0.033,TOR,AL,143,595,550,92,163,102,29,0,32,116,TOR,TOR 2021,108,104,27.6
Manny Machado,Manny Machado 2022,32,2022,29,0.026,0.051,SDP,NL,150,644,578,100,172,102,37,1,32,102,SDP,SDP 2022,82,96,27.2
Anthony Rizzo,Anthony Rizzo 2022,32,2022,32,0.045,0.087,NYY,AL,130,548,465,77,104,50,21,1,32,75,NYY,NYY 2022,85,94,27.5
Julio Rodríguez,Julio Rodríguez 2023,32,2023,22,0.051,0.075,SEA,AL,155,714,654,102,180,109,37,2,32,103,SEA,SEA 2023,78,93,27
Willy Adames,Willy Adames 2022,31,2022,26,0.000,0.031,MIL,NL,139,617,563,83,134,72,31,0,31,98,MIL,MIL 2022,99,97,27.7
Jose Altuve,Jose Altuve 2021,31,2021,31,0.030,0.059,HOU,AL,146,678,601,117,167,103,32,1,31,83,HOU,HOU 2021,106,98,26.6
Javier Báez,Javier Báez 2021,31,2021,28,0.100,0.143,"CHC,NYM",NL,138,547,502,80,133,82,18,2,31,87,CHC,CHC 2021,113,97,30.3
Freddie Freeman,Freddie Freeman 2021,31,2021,31,0.074,0.107,ATL,NL,159,695,600,120,180,122,25,2,31,83,ATL,ATL 2021,98,100,29.3
Adolis García,Adolis García 2021,31,2021,28,0.071,0.103,TEX,AL,149,622,581,77,141,82,26,2,31,90,TEX,TEX 2021,93,102,27.7
Paul Goldschmidt,Paul Goldschmidt 2021,31,2021,33,0.053,0.077,STL,NL,158,679,603,102,177,108,36,2,31,99,STL,STL 2021,92,96,24
Francisco Lindor,Francisco Lindor 2023,31,2023,29,0.057,0.083,NYM,NL,160,687,602,108,153,87,33,2,31,98,NYM,NYM 2023,82,94,29.1
Isaac Paredes,Isaac Paredes 2023,31,2023,24,0.000,0.040,TBR,AL,143,571,492,71,123,68,24,0,31,98,TBR,TBR 2023,99,99,25.6
Hunter Renfroe,Hunter Renfroe 2021,31,2021,29,0.000,0.029,BOS,AL,144,572,521,89,135,71,33,0,31,96,BOS,BOS 2021,120,112,29.5
Eugenio Suárez,Eugenio Suárez 2021,31,2021,29,0.000,0.042,CIN,NL,145,574,505,71,100,46,23,0,31,79,CIN,CIN 2021,83,100,29.4
Eugenio Suárez,Eugenio Suárez 2022,31,2022,30,0.077,0.111,SEA,AL,150,629,543,76,128,71,24,2,31,87,SEA,SEA 2022,78,93,26.2
Spencer Torkelson,Spencer Torkelson 2023,31,2023,23,0.029,0.056,DET,AL,159,684,606,88,141,75,34,1,31,94,DET,DET 2023,139,100,26.8
José Abreu,José Abreu 2021,30,2021,34,0.063,0.091,CHW,AL,152,659,566,86,148,86,30,2,30,117,CHW,CHW 2021,79,94,25.6
Ozzie Albies,Ozzie Albies 2021,30,2021,24,0.149,0.167,ATL,NL,156,686,629,103,163,86,40,7,30,106,ATL,ATL 2021,98,100,28.8
Nolan Arenado,Nolan Arenado 2022,30,2022,31,0.023,0.045,STL,NL,148,620,557,73,163,90,42,1,30,103,STL,STL 2022,92,96,27.1
Rhys Hoskins,Rhys Hoskins 2022,30,2022,29,0.057,0.083,PHI,NL,156,672,589,81,145,80,33,2,30,79,PHI,PHI 2022,106,98,27.3
Manny Machado,Manny Machado 2023,30,2023,30,0.000,0.045,SDP,NL,138,601,543,75,140,89,21,0,30,91,SDP,SDP 2023,82,96,28.4
Cedric Mullins,Cedric Mullins 2021,30,2021,26,0.119,0.140,BAL,AL,159,675,602,91,175,103,37,5,30,59,BAL,BAL 2021,90,97,26.6
Cal Raleigh,Cal Raleigh 2023,30,2023,26,0.042,0.080,SEA,AL,145,569,513,78,119,65,23,1,30,75,SEA,SEA 2023,78,93,26.4
Brent Rooker,Brent Rooker 2023,30,2023,28,0.048,0.091,OAK,AL,137,526,463,61,114,63,20,1,30,69,OAK,OAK 2023,99,101,28.5
Miguel Sanó,Miguel Sanó 2021,30,2021,28,0.000,0.040,MIN,AL,135,532,470,68,105,51,24,0,30,75,MIN,MIN 2021,97,105,27.4
Kyle Tucker,Kyle Tucker 2021,30,2021,24,0.075,0.098,HOU,AL,140,567,506,83,149,79,37,3,30,92,HOU,HOU 2021,106,98,24.2
Kyle Tucker,Kyle Tucker 2022,30,2022,25,0.034,0.067,HOU,AL,150,609,544,71,140,81,28,1,30,107,HOU,HOU 2022,106,98,28
Bobby Witt Jr.,Bobby Witt Jr. 2023,30,2023,23,0.282,0.300,KCR,AL,158,694,641,97,177,108,28,11,30,96,KCR,KCR 2023,110,108,
Bo Bichette,Bo Bichette 2021,29,2021,23,0.032,0.063,TOR,AL,159,690,640,121,191,131,30,1,29,102,TOR,TOR 2021,108,104,26
Nick Castellanos,Nick Castellanos 2023,29,2023,31,0.051,0.075,PHI,NL,157,671,626,79,170,102,37,2,29,106,PHI,PHI 2023,106,98,26.9
C.J. Cron,C.J. Cron 2022,29,2022,32,0.097,0.125,COL,NL,150,632,575,79,148,88,28,3,29,102,COL,COL 2022,138,112,29.3
