Player,Player & Season,HR,Season,Age,triples_over_xbh,(3b + 1)/(2b + 3b + 1),Team,Lg,G,PA,AB,R,H,1B,2B,3B,HR,RBI,Single Team,Team & Year,3B,2B,Sprint Speed
Alex Bregman,Alex Bregman 2022,23,2022,28,0.000,0.026,HOU,AL,155,656,548,93,142,81,38,0,23,93,HOU,HOU 2022,106,98,28.7
Robbie Grossman,Robbie Grossman 2021,23,2021,31,0.115,0.148,DET,AL,156,671,557,88,133,84,23,3,23,67,DET,DET 2021,139,100,26.6
Josh Jung,Josh Jung 2023,23,2023,25,0.038,0.074,TEX,AL,122,515,478,75,127,78,25,1,23,70,TEX,TEX 2023,93,102,27.7
Ryan McMahon,Ryan McMahon 2021,23,2021,26,0.030,0.059,COL,NL,151,596,528,80,134,78,32,1,23,86,COL,COL 2021,138,112,28
Ryan McMahon,Ryan McMahon 2023,23,2023,28,0.088,0.114,COL,NL,152,627,555,80,133,76,31,3,23,70,COL,COL 2023,138,112,26.4
James Outman,James Outman 2023,23,2023,26,0.158,0.200,LAD,NL,151,567,483,86,120,78,16,3,23,70,LAD,LAD 2023,81,98,29.8
Marcell Ozuna,Marcell Ozuna 2022,23,2022,31,0.000,0.050,ATL,NL,124,507,470,56,106,64,19,0,23,56,ATL,ATL 2022,98,100,27.6
Salvador Perez,Salvador Perez 2023,23,2023,33,0.000,0.045,KCR,AL,140,580,538,59,137,93,21,0,23,80,KCR,KCR 2023,110,108,24.9
Carlos Santana,Carlos Santana 2023,23,2023,37,0.029,0.057,"MIL,PIT",NL,146,619,550,78,132,75,33,1,23,86,MIL,MIL 2023,99,97,26
Spencer Steer,Spencer Steer 2023,23,2023,25,0.075,0.098,CIN,NL,156,665,582,74,158,95,37,3,23,86,CIN,CIN 2023,83,100,25.6
Justin Turner,Justin Turner 2023,23,2023,38,0.000,0.031,BOS,AL,146,626,558,86,154,100,31,0,23,96,BOS,BOS 2023,120,112,28.7
Luis Urías,Luis Urías 2021,23,2021,24,0.038,0.074,MIL,NL,150,570,490,77,122,73,25,1,23,75,MIL,MIL 2021,99,97,28
Taylor Ward,Taylor Ward 2022,23,2022,28,0.083,0.120,LAA,AL,135,564,495,73,139,92,22,2,23,65,LAA,LAA 2022,99,98,
Jesús Aguilar,Jesús Aguilar 2021,22,2021,31,0.000,0.042,MIA,NL,131,510,449,49,117,72,23,0,22,93,MIA,MIA 2021,111,101,28.3
Josh Bell,Josh Bell 2023,22,2023,30,0.000,0.034,"CLE,MIA","AL,NL",150,617,547,52,135,85,28,0,22,74,CLE,CLE 2023,92,100,28.4
Jeimer Candelario,Jeimer Candelario 2023,22,2023,29,0.071,0.093,"CHC,WSN",NL,140,576,505,77,127,63,39,3,22,70,CHC,CHC 2023,113,97,28.2
Carlos Correa,Carlos Correa 2022,22,2022,27,0.040,0.077,MIN,AL,136,590,522,70,152,105,24,1,22,64,MIN,MIN 2022,97,105,26.9
Yandy Díaz,Yandy Díaz 2023,22,2023,31,0.000,0.028,TBR,AL,137,600,525,95,173,116,35,0,22,78,TBR,TBR 2023,99,99,28.5
Randal Grichuk,Randal Grichuk 2021,22,2021,29,0.038,0.074,TOR,AL,149,545,511,59,123,75,25,1,22,81,TOR,TOR 2021,108,104,27.4
Austin Hays,Austin Hays 2021,22,2021,25,0.133,0.161,BAL,AL,131,529,488,73,125,73,26,4,22,71,BAL,BAL 2021,90,97,26.4
Ryan Mountcastle,Ryan Mountcastle 2022,22,2022,25,0.034,0.067,BAL,AL,145,609,555,62,139,88,28,1,22,85,BAL,BAL 2022,95,94,28.5
Jeremy Peña,Jeremy Peña 2022,22,2022,24,0.091,0.130,HOU,AL,136,558,521,72,132,88,20,2,22,63,HOU,HOU 2022,106,98,25.1
J.T. Realmuto,J.T. Realmuto 2022,22,2022,31,0.161,0.188,PHI,NL,139,562,504,75,139,86,26,5,22,84,PHI,PHI 2022,106,98,29.2
Anthony Rizzo,Anthony Rizzo 2021,22,2021,31,0.115,0.148,"CHC,NYY","AL,NL",141,576,496,73,123,75,23,3,22,61,CHC,CHC 2021,113,97,25.7
Jonathan Schoop,Jonathan Schoop 2021,22,2021,29,0.032,0.063,DET,AL,156,674,623,85,173,120,30,1,22,84,DET,DET 2021,139,100,27.7
Eugenio Suárez,Eugenio Suárez 2023,22,2023,31,0.000,0.033,SEA,AL,162,694,598,68,139,88,29,0,22,96,SEA,SEA 2023,78,93,28.2
Dansby Swanson,Dansby Swanson 2023,22,2023,29,0.107,0.138,CHC,NL,147,638,565,81,138,88,25,3,22,80,CHC,CHC 2023,113,97,26.7
Luke Voit,Luke Voit 2022,22,2022,31,0.000,0.043,"SDP,WSN",NL,135,568,500,55,113,69,22,0,22,69,SDP,SDP 2022,82,96,
Jake Cronenworth,Jake Cronenworth 2021,21,2021,27,0.175,0.195,SDP,NL,152,643,567,94,151,90,33,7,21,71,SDP,SDP 2021,82,96,28.4
Freddie Freeman,Freddie Freeman 2022,21,2022,32,0.041,0.060,LAD,NL,159,708,612,117,199,129,47,2,21,100,LAD,LAD 2022,81,98,28.9
Lourdes Gurriel Jr.,Lourdes Gurriel Jr. 2021,21,2021,27,0.067,0.097,TOR,AL,141,541,500,62,138,87,28,2,21,84,TOR,TOR 2021,108,104,
Ian Happ,Ian Happ 2023,21,2023,28,0.103,0.125,CHC,NL,158,691,580,86,144,84,35,4,21,84,CHC,CHC 2023,113,97,26.4
Bryce Harper,Bryce Harper 2023,21,2023,30,0.033,0.065,PHI,NL,126,546,457,84,134,83,29,1,21,72,PHI,PHI 2023,106,98,25
César Hernández,César Hernández 2021,21,2021,31,0.087,0.125,"CHW,CLE",AL,149,637,570,84,132,88,21,2,21,62,CHW,CHW 2021,79,94,25.5
Jonathan India,Jonathan India 2021,21,2021,24,0.056,0.081,CIN,NL,150,631,532,98,143,86,34,2,21,69,CIN,CIN 2021,83,100,27.2
Trey Mancini,Trey Mancini 2021,21,2021,29,0.029,0.057,BAL,AL,147,616,556,77,142,87,33,1,21,71,BAL,BAL 2021,90,97,26.4
Max Muncy,Max Muncy 2022,21,2022,31,0.043,0.083,LAD,NL,136,565,464,69,91,47,22,1,21,69,LAD,LAD 2022,81,98,27.3
Eddie Rosario,Eddie Rosario 2023,21,2023,31,0.111,0.143,ATL,NL,142,516,478,64,122,74,24,3,21,74,ATL,ATL 2023,98,100,26.4
George Springer,George Springer 2023,21,2023,33,0.038,0.074,TOR,AL,154,683,613,87,158,111,25,1,21,72,TOR,TOR 2023,93,100,25.9
Trea Turner,Trea Turner 2022,21,2022,29,0.093,0.114,LAD,NL,160,708,652,101,194,130,39,4,21,100,LAD,LAD 2022,81,98,
Andrew Vaughn,Andrew Vaughn 2023,21,2023,25,0.063,0.091,CHW,AL,152,615,566,67,146,93,30,2,21,80,CHW,CHW 2023,79,94,
Anthony Volpe,Anthony Volpe 2023,21,2023,22,0.148,0.179,NYY,AL,159,601,541,62,113,65,23,4,21,60,NYY,NYY 2023,85,94,
Randy Arozarena,Randy Arozarena 2021,20,2021,26,0.086,0.111,TBR,AL,141,604,529,94,145,90,32,3,20,69,TBR,TBR 2021,99,99,26.2
Randy Arozarena,Randy Arozarena 2022,20,2022,27,0.068,0.089,TBR,AL,153,645,586,72,154,90,41,3,20,89,TBR,TBR 2022,99,99,27.3
Bo Bichette,Bo Bichette 2023,20,2023,25,0.091,0.118,TOR,AL,135,601,571,69,175,122,30,3,20,73,TOR,TOR 2023,93,100,28.1
Alec Bohm,Alec Bohm 2023,20,2023,26,0.000,0.031,PHI,NL,145,611,558,74,153,102,31,0,20,97,PHI,PHI 2023,106,98,28.3
Eduardo Escobar,Eduardo Escobar 2022,20,2022,33,0.133,0.161,NYM,NL,136,542,495,58,119,69,26,4,20,69,NYM,NYM 2022,82,94,29
Ty France,Ty France 2022,20,2022,27,0.036,0.069,SEA,AL,140,613,551,65,151,103,27,1,20,83,SEA,SEA 2022,78,93,28.7
Enrique Hernández,Enrique Hernández 2021,20,2021,29,0.079,0.103,BOS,AL,134,585,508,84,127,69,35,3,20,60,BOS,BOS 2021,120,112,28.8
Francisco Lindor,Francisco Lindor 2021,20,2021,27,0.158,0.200,NYM,NL,125,524,452,73,104,65,16,3,20,63,NYM,NYM 2021,82,94,26.7
Ryan McMahon,Ryan McMahon 2022,20,2022,27,0.115,0.148,COL,NL,153,597,529,67,130,84,23,3,20,67,COL,COL 2022,138,112,28
J.T. Realmuto,J.T. Realmuto 2023,20,2023,32,0.152,0.176,PHI,NL,135,540,489,70,123,70,28,5,20,63,PHI,PHI 2023,106,98,28.5
Hunter Renfroe,Hunter Renfroe 2023,20,2023,31,0.000,0.031,"CIN,LAA","AL,NL",140,548,498,60,116,65,31,0,20,60,CIN,CIN 2023,83,100,26.7
Adley Rutschman,Adley Rutschman 2023,20,2023,25,0.031,0.061,BAL,AL,154,687,588,84,163,111,31,1,20,80,BAL,BAL 2023,95,94,30.3
Seiya Suzuki,Seiya Suzuki 2023,20,2023,28,0.162,0.184,CHC,NL,138,583,515,75,147,90,31,6,20,74,CHC,CHC 2023,113,97,26.6
Chris Taylor,Chris Taylor 2021,20,2021,30,0.138,0.167,LAD,NL,148,582,507,92,129,80,25,4,20,73,LAD,LAD 2021,81,98,29.2
Daulton Varsho,Daulton Varsho 2023,20,2023,26,0.115,0.148,TOR,AL,158,581,527,65,116,70,23,3,20,61,TOR,TOR 2023,93,100,
Bobby Witt Jr.,Bobby Witt Jr. 2022,20,2022,22,0.162,0.184,KCR,AL,150,632,591,82,150,93,31,6,20,80,KCR,KCR 2022,110,108,
Cody Bellinger,Cody Bellinger 2022,19,2022,26,0.100,0.129,LAD,NL,144,550,504,70,106,57,27,3,19,68,LAD,LAD 2022,81,98,26.1
Xander Bogaerts,Xander Bogaerts 2023,19,2023,30,0.061,0.088,SDP,NL,155,665,596,83,170,118,31,2,19,58,SDP,SDP 2023,82,96,25.8
J.P. Crawford,J.P. Crawford 2023,19,2023,28,0.000,0.028,SEA,AL,145,638,534,94,142,88,35,0,19,65,SEA,SEA 2023,78,93,26.2
Bryan De La Cruz,Bryan De La Cruz 2023,19,2023,26,0.000,0.030,MIA,NL,153,626,579,60,149,98,32,0,19,78,MIA,MIA 2023,111,101,
Wilmer Flores,Wilmer Flores 2022,19,2022,30,0.034,0.067,SFG,NL,151,602,525,72,120,72,28,1,19,71,SFG,SFG 2022,113,99,28.9
Randal Grichuk,Randal Grichuk 2022,19,2022,30,0.125,0.160,COL,NL,140,538,506,60,131,88,21,3,19,73,COL,COL 2022,138,112,25.6
Carlos Santana,Carlos Santana 2021,19,2021,35,0.000,0.063,KCR,AL,158,659,565,66,121,87,15,0,19,69,KCR,KCR 2021,110,108,28.1
Carlos Santana,Carlos Santana 2022,19,2022,36,0.000,0.053,"KCR,SEA",AL,131,506,431,52,87,50,18,0,19,60,KCR,KCR 2022,110,108,26.2
Will Smith,Will Smith 2023,19,2023,28,0.087,0.125,LAD,NL,126,554,464,80,121,79,21,2,19,76,LAD,LAD 2023,81,98,27.7
Christian Yelich,Christian Yelich 2023,19,2023,31,0.029,0.056,MIL,NL,144,632,550,106,153,99,34,1,19,76,MIL,MIL 2023,99,97,
CJ Abrams,CJ Abrams 2023,18,2023,22,0.176,0.200,WSN,NL,151,614,563,83,138,86,28,6,18,64,WSN,WSN 2023,95,102,28.7
José Abreu,José Abreu 2023,18,2023,36,0.042,0.080,HOU,AL,141,594,540,62,128,86,23,1,18,90,HOU,HOU 2023,106,98,25.3
Dylan Carlson,Dylan Carlson 2021,18,2021,22,0.114,0.139,STL,NL,149,619,542,79,144,91,31,4,18,65,STL,STL 2021,92,96,27.9
Jazz Chisholm Jr.,Jazz Chisholm Jr. 2021,18,2021,23,0.167,0.200,MIA,NL,124,507,464,70,115,73,20,4,18,53,MIA,MIA 2021,111,101,28.4
Carlos Correa,Carlos Correa 2023,18,2023,28,0.065,0.094,MIN,AL,135,580,514,60,118,69,29,2,18,65,MIN,MIN 2023,97,105,28.8
J.D. Davis,J.D. Davis 2023,18,2023,30,0.042,0.080,SFG,NL,144,546,480,61,119,77,23,1,18,69,SFG,SFG 2023,113,99,27.1
Ty France,Ty France 2021,18,2021,26,0.030,0.059,SEA,AL,152,650,571,85,166,115,32,1,18,73,SEA,SEA 2021,78,93,27.8
TJ Friedl,TJ Friedl 2023,18,2023,27,0.267,0.290,CIN,NL,138,556,488,73,136,88,22,8,18,66,CIN,CIN 2023,83,100,28
Michael Harris II,Michael Harris II 2023,18,2023,22,0.083,0.108,ATL,NL,138,539,505,76,148,94,33,3,18,57,ATL,ATL 2023,98,100,
Nathaniel Lowe,Nathaniel Lowe 2021,18,2021,25,0.111,0.143,TEX,AL,157,642,557,75,147,102,24,3,18,72,TEX,TEX 2021,93,102,27.9
Trey Mancini,Trey Mancini 2022,18,2022,30,0.042,0.080,"BAL,HOU",AL,143,587,519,56,124,82,23,1,18,63,BAL,BAL 2022,95,94,27.9
MJ Melendez,MJ Melendez 2022,18,2022,23,0.125,0.160,KCR,AL,129,534,460,57,100,58,21,3,18,62,KCR,KCR 2022,110,108,28.1
Sean Murphy,Sean Murphy 2022,18,2022,27,0.051,0.075,OAK,AL,148,612,537,67,134,77,37,2,18,66,OAK,OAK 2022,99,101,26.4
Keibert Ruiz,Keibert Ruiz 2023,18,2023,24,0.000,0.040,WSN,NL,136,562,523,55,136,94,24,0,18,67,WSN,WSN 2023,95,102,26.2
Jonathan Villar,Jonathan Villar 2021,18,2021,30,0.100,0.143,NYM,NL,142,505,454,63,113,75,18,2,18,42,NYM,NYM 2021,82,94,
Tim Anderson,Tim Anderson 2021,17,2021,28,0.065,0.094,CHW,AL,123,551,527,94,163,115,29,2,17,61,CHW,CHW 2021,79,94,28.5
Elvis Andrus,Elvis Andrus 2022,17,2022,33,0.000,0.030,"CHW,OAK",AL,149,577,535,66,133,84,32,0,17,58,CHW,CHW 2022,79,94,27.3
Orlando Arcia,Orlando Arcia 2023,17,2023,28,0.000,0.038,ATL,NL,139,533,488,66,129,87,25,0,17,65,ATL,ATL 2023,98,100,26.7
Javier Báez,Javier Báez 2022,17,2022,29,0.129,0.156,DET,AL,144,590,555,64,132,84,27,4,17,67,DET,DET 2022,139,100,28.7
Josh Bell,Josh Bell 2022,17,2022,29,0.094,0.121,"SDP,WSN",NL,156,647,552,78,147,98,29,3,17,71,SDP,SDP 2022,82,96,28.3
Andrew Benintendi,Andrew Benintendi 2021,17,2021,26,0.069,0.100,KCR,AL,134,538,493,63,136,90,27,2,17,73,KCR,KCR 2021,110,108,25.8
Mark Canha,Mark Canha 2021,17,2021,32,0.154,0.185,OAK,AL,141,625,519,93,120,77,22,4,17,61,OAK,OAK 2021,99,101,25.5
Matt Chapman,Matt Chapman 2023,17,2023,30,0.049,0.071,TOR,AL,140,581,509,66,122,64,39,2,17,54,TOR,TOR 2023,93,100,25.6
Trent Grisham,Trent Grisham 2022,17,2022,25,0.111,0.158,SDP,NL,152,524,451,58,83,48,16,2,17,53,SDP,SDP 2022,82,96,28.8
William Contreras,William Contreras 2023,17,2023,25,0.026,0.050,MIL,NL,141,611,540,86,156,100,38,1,17,78,MIL,MIL 2023,99,97,27.6
Jake Cronenworth,Jake Cronenworth 2022,17,2022,28,0.118,0.143,SDP,NL,158,684,587,88,140,89,30,4,17,88,SDP,SDP 2022,82,96,28.8
Andrés Giménez,Andrés Giménez 2022,17,2022,23,0.103,0.133,CLE,AL,146,557,491,66,146,100,26,3,17,69,CLE,CLE 2022,92,100,27.6
Ian Happ,Ian Happ 2022,17,2022,27,0.045,0.067,CHC,NL,158,641,573,72,155,94,42,2,17,72,CHC,CHC 2022,113,97,25.7
Jonathan India,Jonathan India 2023,17,2023,26,0.000,0.042,CIN,NL,119,529,454,78,111,71,23,0,17,61,CIN,CIN 2023,83,100,28.6
Ha-Seong Kim,Ha-Seong Kim 2023,17,2023,27,0.000,0.042,SDP,NL,152,626,538,84,140,100,23,0,17,60,SDP,SDP 2023,82,96,25.8
Nathaniel Lowe,Nathaniel Lowe 2023,17,2023,27,0.073,0.095,TEX,AL,161,724,623,89,163,105,38,3,17,82,TEX,TEX 2023,93,102,28.9
Andrew McCutchen,Andrew McCutchen 2022,17,2022,35,0.000,0.038,MIL,NL,134,580,515,66,122,80,25,0,17,69,MIL,MIL 2022,99,97,27
Tommy Pham,Tommy Pham 2022,17,2022,34,0.042,0.080,"BOS,CIN","AL,NL",144,622,554,89,131,90,23,1,17,63,BOS,BOS 2022,120,112,26.9
J.T. Realmuto,J.T. Realmuto 2021,17,2021,30,0.138,0.167,PHI,NL,134,537,476,64,125,79,25,4,17,73,PHI,PHI 2021,106,98,29
Luis Rengifo,Luis Rengifo 2022,17,2022,25,0.154,0.185,LAA,AL,127,511,489,45,129,86,22,4,17,52,LAA,LAA 2022,99,98,28
Lane Thomas,Lane Thomas 2022,17,2022,26,0.071,0.103,WSN,NL,146,548,498,62,120,75,26,2,17,52,WSN,WSN 2022,95,102,
Andrew Vaughn,Andrew Vaughn 2022,17,2022,24,0.034,0.067,CHW,AL,134,555,510,60,138,92,28,1,17,76,CHW,CHW 2022,79,94,
LaMonte Wade Jr.,LaMonte Wade Jr. 2023,17,2023,29,0.125,0.176,SFG,NL,135,519,429,64,110,77,14,2,17,45,SFG,SFG 2023,113,99,
Mike Yastrzemski,Mike Yastrzemski 2022,17,2022,31,0.061,0.088,SFG,NL,148,558,485,73,104,54,31,2,17,57,SFG,SFG 2022,113,99,
Jesús Aguilar,Jesús Aguilar 2022,16,2022,32,0.000,0.050,"BAL,MIA","AL,NL",129,507,464,39,109,74,19,0,16,51,BAL,BAL 2022,95,94,26.2
Charlie Blackmon,Charlie Blackmon 2022,16,2022,35,0.214,0.241,COL,NL,135,577,530,60,140,96,22,6,16,78,COL,COL 2022,138,112,29.5
Jeimer Candelario,Jeimer Candelario 2021,16,2021,27,0.067,0.087,DET,AL,149,626,557,75,151,90,42,3,16,67,DET,DET 2021,139,100,28.2
Hunter Dozier,Hunter Dozier 2021,16,2021,29,0.182,0.206,KCR,AL,144,543,487,55,105,56,27,6,16,54,KCR,KCR 2021,110,108,26.8
Kyle Farmer,Kyle Farmer 2021,16,2021,30,0.083,0.120,CIN,NL,147,529,483,60,127,87,22,2,16,63,CIN,CIN 2021,83,100,25.8
Austin Hays,Austin Hays 2022,16,2022,26,0.054,0.079,BAL,AL,145,582,535,66,134,81,35,2,16,60,BAL,BAL 2022,95,94,27.7
Austin Hays,Austin Hays 2023,16,2023,27,0.053,0.077,BAL,AL,144,566,520,76,143,89,36,2,16,67,BAL,BAL 2023,95,94,27.2
Starling Marte,Starling Marte 2022,16,2022,33,0.172,0.200,NYM,NL,118,505,466,76,136,91,24,5,16,63,NYM,NYM 2022,82,94,25.9
J.D. Martinez,J.D. Martinez 2022,16,2022,34,0.023,0.044,BOS,AL,139,596,533,76,146,86,43,1,16,62,BOS,BOS 2022,120,112,27.6
MJ Melendez,MJ Melendez 2023,16,2023,24,0.147,0.171,KCR,AL,148,602,533,65,125,75,29,5,16,56,KCR,KCR 2023,110,108,28.1
Cedric Mullins,Cedric Mullins 2022,16,2022,27,0.111,0.135,BAL,AL,156,672,608,89,157,105,32,4,16,64,BAL,BAL 2022,95,94,25.1
Brandon Nimmo,Brandon Nimmo 2022,16,2022,29,0.189,0.211,NYM,NL,151,673,580,102,159,106,30,7,16,64,NYM,NYM 2022,82,94,27.7
José Abreu,José Abreu 2022,15,2022,35,0.000,0.024,CHW,AL,157,679,601,85,183,128,40,0,15,75,CHW,CHW 2022,79,94,26.6
Ronald Acuña Jr.,Ronald Acuña Jr. 2022,15,2022,24,0.000,0.040,ATL,NL,119,533,467,71,124,85,24,0,15,50,ATL,ATL 2022,98,100,
Xander Bogaerts,Xander Bogaerts 2022,15,2022,29,0.000,0.026,BOS,AL,150,631,557,84,171,118,38,0,15,73,BOS,BOS 2022,120,112,27.9
Miguel Cabrera,Miguel Cabrera 2021,15,2021,38,0.000,0.059,DET,AL,130,526,472,48,121,90,16,0,15,75,DET,DET 2021,139,100,26.5
Trent Grisham,Trent Grisham 2021,15,2021,24,0.097,0.125,SDP,NL,132,527,462,61,112,66,28,3,15,62,SDP,SDP 2021,82,96,28.8
Josh Donaldson,Josh Donaldson 2022,15,2022,36,0.000,0.034,NYY,AL,132,546,478,59,106,63,28,0,15,62,NYY,NYY 2022,85,94,26.4
Andrés Giménez,Andrés Giménez 2023,15,2023,24,0.156,0.182,CLE,AL,153,616,557,76,140,93,27,5,15,62,CLE,CLE 2023,92,100,26.1
Yuli Gurriel,Yuli Gurriel 2021,15,2021,37,0.000,0.031,HOU,AL,143,605,530,83,169,123,31,0,15,81,HOU,HOU 2021,106,98,28
Ke'Bryan Hayes,Ke'Bryan Hayes 2023,15,2023,26,0.184,0.205,PIT,NL,124,525,494,65,134,81,31,7,15,61,PIT,PIT 2023,101,106,29.9
DJ LeMahieu,DJ LeMahieu 2023,15,2023,34,0.120,0.154,NYY,AL,136,562,497,55,121,81,22,3,15,44,NYY,NYY 2023,85,94,26.5
Tommy Pham,Tommy Pham 2021,15,2021,33,0.077,0.111,SDP,NL,155,561,475,74,109,68,24,2,15,49,SDP,SDP 2021,82,96,28.5
Jurickson Profar,Jurickson Profar 2022,15,2022,29,0.053,0.077,SDP,NL,152,658,575,82,140,87,36,2,15,58,SDP,SDP 2022,82,96,28.8
Bryson Stott,Bryson Stott 2023,15,2023,25,0.059,0.086,PHI,NL,151,640,585,78,164,115,32,2,15,62,PHI,PHI 2023,106,98,
Ezequiel Tovar,Ezequiel Tovar 2023,15,2023,21,0.098,0.119,COL,NL,153,615,581,79,147,91,37,4,15,73,COL,COL 2023,138,112,
Masataka Yoshida,Masataka Yoshida 2023,15,2023,29,0.083,0.108,BOS,AL,140,580,537,71,155,104,33,3,15,72,BOS,BOS 2023,120,112,
Elias Díaz,Elias Díaz 2023,14,2023,32,0.038,0.074,COL,NL,141,526,486,48,130,90,25,1,14,72,COL,COL 2023,138,112,26.4
Thairo Estrada,Thairo Estrada 2022,14,2022,26,0.083,0.120,SFG,NL,140,541,488,71,127,89,22,2,14,62,SFG,SFG 2022,113,99,27.3
Thairo Estrada,Thairo Estrada 2023,14,2023,27,0.071,0.103,SFG,NL,120,530,495,63,134,92,26,2,14,49,SFG,SFG 2023,113,99,27
Kyle Farmer,Kyle Farmer 2022,14,2022,31,0.038,0.074,CIN,NL,145,583,526,58,134,94,25,1,14,78,CIN,CIN 2022,83,100,25.6
Alejandro Kirk,Alejandro Kirk 2022,14,2022,23,0.000,0.050,TOR,AL,139,541,470,59,134,101,19,0,14,63,TOR,TOR 2022,93,100,28.5
Jed Lowrie,Jed Lowrie 2021,14,2021,37,0.000,0.034,OAK,AL,139,512,457,55,112,70,28,0,14,69,OAK,OAK 2021,99,101,24.7
Yoán Moncada,Yoán Moncada 2021,14,2021,26,0.029,0.057,CHW,AL,144,616,520,74,137,89,33,1,14,61,CHW,CHW 2021,79,94,25.2
Lars Nootbaar,Lars Nootbaar 2023,14,2023,25,0.042,0.080,STL,NL,117,503,426,74,111,73,23,1,14,46,STL,STL 2023,92,96,27.6
AJ Pollock,AJ Pollock 2022,14,2022,34,0.037,0.071,CHW,AL,138,527,489,61,120,79,26,1,14,56,CHW,CHW 2022,79,94,30.4
Jean Segura,Jean Segura 2021,14,2021,31,0.100,0.129,PHI,NL,131,567,514,76,149,105,27,3,14,58,PHI,PHI 2021,106,98,27.3
Leody Taveras,Leody Taveras 2023,14,2023,24,0.088,0.114,TEX,AL,143,554,511,67,136,88,31,3,14,67,TEX,TEX 2023,93,102,
Jesse Winker,Jesse Winker 2022,14,2022,28,0.000,0.063,SEA,AL,136,547,456,51,100,71,15,0,14,53,SEA,SEA 2022,78,93,
Christian Yelich,Christian Yelich 2022,14,2022,30,0.138,0.167,MIL,NL,154,671,575,99,145,102,25,4,14,57,MIL,MIL 2022,99,97,
Charlie Blackmon,Charlie Blackmon 2021,13,2021,34,0.138,0.167,COL,NL,150,582,514,76,139,97,25,4,13,78,COL,COL 2021,138,112,30.1
Alec Bohm,Alec Bohm 2022,13,2022,25,0.111,0.143,PHI,NL,152,631,586,79,164,124,24,3,13,72,PHI,PHI 2022,106,98,24.5
Mark Canha,Mark Canha 2022,13,2022,33,0.000,0.040,NYM,NL,140,542,462,71,123,86,24,0,13,61,NYM,NYM 2022,82,94,25.3
Nick Castellanos,Nick Castellanos 2022,13,2022,30,0.000,0.036,PHI,NL,136,558,524,56,138,98,27,0,13,62,PHI,PHI 2022,106,98,29.2
Trent Grisham,Trent Grisham 2023,13,2023,26,0.031,0.061,SDP,NL,153,555,469,67,93,48,31,1,13,50,SDP,SDP 2023,82,96,27.3
Yandy Díaz,Yandy Díaz 2021,13,2021,29,0.048,0.091,TBR,AL,134,541,465,62,119,85,20,1,13,64,TBR,TBR 2021,99,99,27.5
Tommy Edman,Tommy Edman 2022,13,2022,27,0.114,0.139,STL,NL,153,630,577,95,153,105,31,4,13,57,STL,STL 2022,92,96,26.6
Tommy Edman,Tommy Edman 2023,13,2023,28,0.138,0.167,STL,NL,137,528,479,69,119,77,25,4,13,47,STL,STL 2023,92,96,28.4
Jorge Mateo,Jorge Mateo 2022,13,2022,27,0.219,0.242,BAL,AL,150,533,494,63,109,64,25,7,13,50,BAL,BAL 2022,95,94,26.8
Joey Meneses,Joey Meneses 2023,13,2023,31,0.027,0.053,WSN,NL,154,657,611,71,168,118,36,1,13,89,WSN,WSN 2023,95,102,27.8
Brendan Rodgers,Brendan Rodgers 2022,13,2022,25,0.091,0.118,COL,NL,137,581,527,72,140,94,30,3,13,63,COL,COL 2022,138,112,25.2
Tyler Stephenson,Tyler Stephenson 2023,13,2023,26,0.091,0.130,CIN,NL,142,517,465,59,113,78,20,2,13,56,CIN,CIN 2023,83,100,
Justin Turner,Justin Turner 2022,13,2022,37,0.000,0.027,LAD,NL,128,532,468,61,130,81,36,0,13,81,LAD,LAD 2022,81,98,
Gio Urshela,Gio Urshela 2022,13,2022,30,0.100,0.129,MIN,AL,144,551,501,61,143,100,27,3,13,64,MIN,MIN 2022,97,105,
Alex Verdugo,Alex Verdugo 2021,13,2021,25,0.059,0.086,BOS,AL,146,604,544,88,157,110,32,2,13,63,BOS,BOS 2021,120,112,
Alex Verdugo,Alex Verdugo 2023,13,2023,27,0.119,0.140,BOS,AL,142,602,546,81,144,89,37,5,13,54,BOS,BOS 2023,120,112,
Ty France,Ty France 2023,12,2023,28,0.000,0.030,SEA,AL,158,665,587,79,147,103,32,0,12,58,SEA,SEA 2023,78,93,28.1
Eric Hosmer,Eric Hosmer 2021,12,2021,31,0.000,0.034,SDP,NL,151,565,509,53,137,97,28,0,12,65,SDP,SDP 2021,82,96,26.9
DJ LeMahieu,DJ LeMahieu 2022,12,2022,33,0.000,0.053,NYY,AL,125,541,467,74,122,92,18,0,12,46,NYY,NYY 2022,85,94,27.5
Ketel Marte,Ketel Marte 2022,12,2022,28,0.045,0.067,ARI,NL,137,558,492,68,118,62,42,2,12,52,ARI,ARI 2022,118,104,25.2
Starling Marte,Starling Marte 2021,12,2021,32,0.100,0.129,"MIA,OAK","AL,NL",120,526,467,89,145,103,27,3,12,55,MIA,MIA 2021,111,101,27.1
Dominic Smith,Dominic Smith 2023,12,2023,28,0.045,0.087,WSN,NL,153,586,527,57,134,100,21,1,12,46,WSN,WSN 2023,95,102,
Michael A. Taylor,Michael A. Taylor 2021,12,2021,30,0.059,0.111,KCR,AL,142,528,483,58,118,89,16,1,12,54,KCR,KCR 2021,110,108,
Mark Canha,Mark Canha 2023,11,2023,34,0.038,0.074,"MIL,NYM",NL,139,507,435,51,114,77,25,1,11,62,MIL,MIL 2023,99,97,27.3
