pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FC,9/22/19,86.6,-2.19,5.81,"Darvish, Yu",451594,506433,,foul,,,,,9,Dexter Fowler out on a sacrifice fly to center fielder Albert Almora.   Tyler O'Neill scores.,R,L,R,CHC,STL,S,,,1,0,2019,0.58,-0.27,0.65,2.15,641933,,,0,9,Top,,,,,605170,,,5.578351847,-125.9787957,-2.025467538,5.036179863,23.48389608,-34.84470634,3.54,1.74,,,,86.1,2787,5.8,565204,506433,605170,664023,450314,623520,663538,592206,546991,518792,54.71,,,,,,,,59,2,Cutter,2,1,1,2,1,2,1,2,Infield shift,Standard,65,0,-0.091
FF,9/22/19,91.9,-2.12,5.84,"Darvish, Yu",451594,506433,,ball,,,,,12,Dexter Fowler out on a sacrifice fly to center fielder Albert Almora.   Tyler O'Neill scores.,R,L,R,CHC,STL,B,,,0,0,2019,-0.07,0.92,1.19,2.9,641933,,,0,9,Top,,,,,605170,,,8.458705874,-133.6774006,-3.614019567,-2.435173076,24.61597206,-20.77689087,3.43,1.62,,,,91.7,2728,5.9,565204,506433,605170,664023,450314,623520,663538,592206,546991,518792,54.62,,,,,,,,59,1,4-Seam Fastball,2,1,1,2,1,2,1,2,Infield shift,Standard,185,0,0.044
FC,9/22/19,83.9,-2.16,5.73,"Darvish, Yu",500874,506433,triple,hit_into_play,,,,,9,Jose Martinez triples (1) on a sharp line drive to center fielder Albert Almora.,R,R,R,CHC,STL,X,8,line_drive,1,0,2019,0.56,-0.36,0.33,2.28,,,,0,9,Top,141.34,36.54,,,605170,,,4.631135126,-122.1368626,-0.967000629,4.669309608,21.32518017,-35.76663241,3.77,1.82,384,102.9,20,83.4,,5.7,565204,506433,605170,664023,450314,623520,663538,592206,546991,518792,54.81,0.633,0.836,1.6,1,1,2,5,58,2,Cutter,2,1,1,2,1,2,1,2,Standard,Standard,57,-0.292,0.864
FC,9/22/19,83.5,-2.15,5.81,"Darvish, Yu",500874,506433,,ball,,,,,14,Jose Martinez triples (1) on a sharp line drive to center fielder Albert Almora.,R,R,R,CHC,STL,B,,,0,0,2019,0.58,-0.27,1.22,2.4,,,,0,9,Top,,,,,605170,,,6.569672301,-121.5524572,-0.973116715,4.542834951,20.65394339,-34.86076871,3.46,1.56,,,,83.2,2650,5.8,565204,506433,605170,664023,450314,623520,663538,592206,546991,518792,54.71,,,,,,,,58,1,Cutter,2,1,1,2,1,2,1,2,Standard,Standard,65,0,0.037
FC,9/22/19,85.5,-2.22,5.64,"Darvish, Yu",446308,506433,field_out,hit_into_play,,,,,7,"Matt Wieters grounds out, third baseman Ian Happ to first baseman Anthony Rizzo.",R,L,R,CHC,STL,X,5,ground_ball,1,0,2019,0.57,-0.47,-0.8,2.17,,,622168,2,8,Top,110.83,176.67,,,605170,,,2.206045616,-124.6164528,-1.085776223,5.527758798,21.45616442,-37.05460039,3.49,1.74,7,91.9,-17,85.3,2761,5.8,565204,506433,605170,519203,450314,664023,663538,656941,518792,592206,54.73,0.16,0.155,0,1,0,0,2,52,2,Cutter,2,1,1,2,1,2,1,2,Standard,Standard,51,0.058,-0.278
SL,9/22/19,79.2,-2.39,5.53,"Darvish, Yu",446308,506433,,ball,,,,,11,"Matt Wieters grounds out, third baseman Ian Happ to first baseman Anthony Rizzo.",R,L,R,CHC,STL,B,,,0,0,2019,1.89,-0.16,-2.32,4.01,,,622168,2,8,Top,,,,,605170,,,-3.224352984,-115.0135188,3.742573601,16.92347176,22.01843552,-34.49935245,3.3,1.6,,,,78,2798,5.6,565204,506433,605170,519203,450314,664023,663538,656941,518792,592206,54.88,,,,,,,,52,1,Slider,2,1,1,2,1,2,1,2,Standard,Standard,85,0,0.035
FT,9/22/19,92.1,-2.08,5.72,"Darvish, Yu",657557,506433,strikeout,foul_tip,,,,,7,Paul DeJong strikes out on a foul tip.,R,R,R,CHC,STL,S,2,,0,2,2019,-0.88,0.79,-0.69,1.51,,,622168,1,8,Top,,,,,605170,,,5.400550936,-134.0208373,-6.565382686,-11.64587388,26.17781361,-21.64692528,3.41,1.59,,,,92,1605,6,565204,506433,605170,519203,450314,664023,663538,656941,518792,592206,54.46,,,0,1,0,0,,51,3,2-Seam Fastball,2,1,1,2,1,2,1,2,Infield shift,Standard,228,0.068,-0.198
FF,9/22/19,95.7,-1.96,5.8,"Darvish, Yu",657557,506433,,swinging_strike,,,,,5,Paul DeJong strikes out on a foul tip.,R,R,R,CHC,STL,S,,,0,1,2019,-0.51,1.61,0.08,2.24,,,622168,1,8,Top,,,,,605170,,,6.509732593,-139.1206149,-7.401084208,-7.955991165,29.32387755,-9.898307347,3.41,1.59,,,,95.7,2609,6.2,565204,506433,605170,519203,450314,664023,663538,656941,518792,592206,54.26,,,,,,,,51,2,4-Seam Fastball,2,1,1,2,1,2,1,2,Infield shift,Standard,197,0,-0.066
FC,9/22/19,85.7,-2.07,5.77,"Darvish, Yu",657557,506433,,called_strike,,,,,8,Paul DeJong strikes out on a foul tip.,R,R,R,CHC,STL,S,,,0,0,2019,0.37,-0.01,-0.23,1.71,,,622168,1,8,Top,,,,,605170,,,3.579932434,-124.8694604,-3.426647883,3.28862399,20.61349731,-31.90996367,3.34,1.53,,,,85.9,2687,5.9,565204,506433,605170,519203,450314,664023,663538,656941,518792,592206,54.57,,,,,,,,51,1,Cutter,2,1,1,2,1,2,1,2,Infield shift,Standard,89,0,-0.055
FF,9/22/19,94.9,-2.06,5.69,"Darvish, Yu",572761,506433,single,hit_into_play,,,,,14,Matt Carpenter singles on a line drive to right fielder Nicholas Castellanos.,R,L,R,CHC,STL,X,9,line_drive,1,2,2019,-0.18,1.36,0.62,1.56,,,,1,8,Top,181.25,75.19,,,605170,,,7.425665229,-138.0348535,-8.269889842,-3.775914048,26.60223579,-13.23955025,3.53,1.75,286,91.6,19,95.6,2599,6.4,565204,506433,605170,519203,450314,664023,663538,656941,518792,592206,54.11,0.413,0.424,0.9,1,1,0,4,50,4,4-Seam Fastball,2,1,1,2,1,2,1,2,Infield shift,Standard,188,-0.062,0.322
